Isolate,Year
14AR2121,2014/15
14AR2122,2014/15
14AR2123,2014/15
14AR2137,2014/15
14AR2138,2014/15
14AR2139,2014/15
14AR2140,2014/15
14AR2143,2014/15
14AR2144,2014/15
14AR2145,2014/15
14AR2147,2014/15
14AR2148,2014/15
14AR2196,2014/15
14AR2197,2014/15
14AR2198,2014/15
14AR2199,2014/15
14AR2200,2014/15
14AR2218,2014/15
14AR2231,2014/15
14AR2240,2014/15
14AR2241,2014/15
14AR2242,2014/15
14AR2243,2014/15
14AR2244,2014/15
14AR2246,2014/15
14AR2247,2014/15
14AR2275,2014/15
14AR2276,2014/15
14AR2283,2014/15
14AR2284,2014/15
14AR2285,2014/15
14AR2286,2014/15
14AR2288,2014/15
14AR2290,2014/15
14AR2293,2014/15
14AR2321,2014/15
14AR2322,2014/15
14AR2323,2014/15
14AR2324,2014/15
14AR2325,2014/15
14AR2326,2014/15
14AR2369,2014/15
14AR2385,2014/15
14AR2386,2014/15
14AR2387,2014/15
14AR2388,2014/15
14AR2389,2014/15
14AR2405,2014/15
14AR2416,2014/15
14AR2419,2014/15
14AR2420,2014/15
14AR2421,2014/15
14AR2446,2014/15
14AR2447,2014/15
14AR2448,2014/15
14AR2458,2014/15
14AR2459,2014/15
14AR2460,2014/15
14AR2461,2014/15
14AR2462,2014/15
14AR2463,2014/15
14AR2477,2014/15
14AR2500,2014/15
14AR2501,2014/15
14AR2502,2014/15
14AR2503,2014/15
14AR2504,2014/15
14AR2531,2014/15
14AR2532,2014/15
14AR2533,2014/15
14AR2534,2014/15
14AR2535,2014/15
14AR2536,2014/15
14AR2538,2014/15
14AR2539,2014/15
14AR2556,2014/15
14AR2580,2014/15
14AR2581,2014/15
14AR2582,2014/15
14AR2583,2014/15
14AR2584,2014/15
14AR2587,2014/15
14AR2588,2014/15
14AR2589,2014/15
15AR0014,2014/15
15AR0015,2014/15
15AR0016,2014/15
15AR0017,2014/15
15AR0022,2014/15
15AR0023,2014/15
15AR0024,2014/15
15AR0025,2014/15
15AR0026,2014/15
15AR0027,2014/15
15AR0033,2014/15
15AR0068,2014/15
15AR0069,2014/15
15AR0070,2014/15
15AR0082,2014/15
15AR0084,2014/15
15AR0085,2014/15
15AR0086,2014/15
15AR0087,2014/15
15AR0088,2014/15
15AR0089,2014/15
15AR0099,2014/15
15AR0100,2014/15
15AR0105,2014/15
