Isolate,BAPS,MLST,NGMAST,ngSTar
18AR1198,1,11864,5049,439
18AR1199,2,8156,5441,442
18AR1200,3,14420,21015,2027
18AR1206,2,8156,13489,442
18AR1217,4,15002,21016,2819
18AR1236,5,13915,21017,4006
18AR1237,1,11428,1498,4000
18AR1238,4,8116,21019,2819
18AR1251,2,8156,18980,442
18AR1263,3,12041,21020,4018
18AR1264,3,12041,21020,2835
18AR1276,5,13915,21017,4006
18AR1277,2,8156,5441,442
18AR1279,6,7359,4186,231
18AR1282,7,13913,21003,2839
18AR1283,8,1901,1513,90
18AR1284,7,13913,21003,2839
18AR1287,1,9363,18146,1040
18AR1288,9,1599,11461,520
18AR1322,1,11428,1498,4000
18AR1323,2,8156,18980,442
18AR1324,2,8156,18980,442
18AR1330,5,13915,21017,4006
18AR1332,2,8156,13489,442
18AR1333,8,13333,21021,719
18AR1336,10,7363,2400,158
18AR1339,1,11864,5049,439
18AR1340,5,13915,21017,4006
18AR1363,6,7359,4487,1897
18AR1374,2,8156,5441,442
18AR1375,5,13915,21017,4006
18AR1376,11,1588,21022,4012
18AR1377,8,10935,21000,4011
18AR1378,6,7359,10121,231
18AR1379,12,15000,21014,4013
18AR1380,1,11463,1498,4000
18AR1381,3,12041,21020,4018
18AR1382,3,12041,21020,4018
18AR1383,7,13913,21003,2839
18AR1384,2,8156,18980,442
18AR1389,2,8156,5441,442
18AR1390,9,1599,11461,520
18AR1403,11,1588,338,1873
18AR1404,11,1588,17538,247
18AR1405,5,13915,21017,4006
18AR1406,1,11864,5049,439
18AR1424,2,8156,5441,442
18AR1425,13,13266,12526,1804
18AR1426,13,13266,12526,1804
18AR1427,4,10622,9650,2819
18AR1428,2,8156,5441,442
18AR1429,8,13333,21021,719
18AR1430,14,7365,356,4005
18AR1432,11,14422,5061,2473
18AR1433,3,12041,21020,2835
18AR1440,9,1584,14537,1029
18AR1441,8,7822,19413,4002
18AR1442,10,7363,2400,158
18AR1443,2,8156,13489,442
18AR1444,1,11428,1498,4000
18AR1445,1,11428,1498,4000
18AR1450,6,7359,21023,231
18AR1451,5,13915,21017,4006
18AR1452,7,13913,21003,2839
